"Foods","Calories","Carbs","Fat","Protein","Cholest","Sodium","Sugars","Fiber","Day","Meal"
"Duck Breast - Corrected, 3 oz (100 grams)",140,0,3,28,143,105,0,0,2017-02-06,"Lunch"
"Timea - Avocado, 1 Medium Avocado (150g)",170,15,26,3,0,14,0,12,2017-02-06,"Lunch"
"Sobbeke - Bio Milchreis (Kirsche) (EA), 100 g",112,19,3,3,0,0,12,0,2017-02-06,"Lunch"
"migros - kalbs leber tranchen, 130 g",169,6,5,25,0,0,1,0,2017-02-06,"Dinner"
"Giant - Crusty French Bread, 2 slices (57g)",160,29,3,4,0,290,2,1,2017-02-06,"Dinner"
"Butter - Butter, 2 tsp",70,0,8,0,25,60,0,0,2017-02-06,"Dinner"
"Naturata - Dark Chocolate Panama 80% Cocoa - cokolada, 40 g",229,10,20,3,0,0,0,0,2017-02-06,"Snacks"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-02-07,"Breakfast"
"Greens Plus - Organic Superfood, 1 scoop (8 gm)",30,4,0,2,0,24,1,2,2017-02-07,"Breakfast"
"Primal State - Primal Collagen (100% Reines Kollagen Protein Aus Weidehaltung), 15 g",53,0,0,13,0,0,1,0,2017-02-07,"Breakfast"
"Usda - Egg, 2 egg (50g)",142,1,10,12,422,140,1,0,2017-02-07,"Breakfast"
"Planet Organic - Paleonola caramel apple pie, 50 g",276,19,19,8,0,0,10,5,2017-02-07,"Breakfast"
"Demeter - Bio-Joghurt, 100 Gramm",79,5,4,5,0,0,5,0,2017-02-07,"Breakfast"
"Schar - Meisterbackers Vital, 96 gram",255,36,9,4,0,0,0,0,2017-02-07,"Breakfast"
"Della - White Basmati Rice - Cooked, 1 cup",205,45,0,4,0,0,0,0,2017-02-07,"Lunch"
"W. Brandenburg - Rinder-Hack, 140 g",308,0,22,27,0,0,0,0,2017-02-07,"Lunch"
"A Grilled - Chicken Breast, 120 g",203,0,14,55,62,530,0,0,2017-02-07,"Dinner"
"Oil - Olive, 1 tablespoon",119,0,14,0,0,0,0,0,2017-02-07,"Dinner"
"Brussel Sprouts - Brussels Sprouts, Cooked, 1 cup (100g)",56,5,1,4,0,23,3,3,2017-02-07,"Dinner"
"Cooked - Sweet Potato, 150 g",135,31,0,3,0,54,10,5,2017-02-07,"Dinner"
"Trek - Cocoa Chaos, 55 g",186,27,4,10,0,120,23,4,2017-02-07,"Snacks"
"Generation Ucan - Tropical Orange Superstarch (Tub), 1 scoop (25g)",80,20,0,0,0,130,0,0,2017-02-07,"Training"
"Primal Energy - Mct Oil, 15 ml",135,0,15,0,0,0,0,0,2017-02-08,"Breakfast"
"Greens Plus - Organic Superfood, 1 scoop (8 gm)",30,4,0,2,0,24,1,2,2017-02-08,"Breakfast"
"Primal State - Primal Collagen (100% Reines Kollagen Protein Aus Weidehaltung), 15 g",53,0,0,13,0,0,1,0,2017-02-08,"Breakfast"
"Schar - Meisterbackers Vital, 64 gram",170,24,6,3,0,0,0,0,2017-02-08,"Breakfast"
"Generic - French Emental Cheese, 30 g",110,1,8,8,25,55,0,0,2017-02-08,"Breakfast"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-02-08,"Breakfast"
"hofgut storzeln - soja drink vanille, 400 g",236,24,8,14,0,0,24,2,2017-02-08,"Breakfast"
"Cooked - Sweet Potato, 150 g",135,31,0,3,0,54,10,5,2017-02-08,"Lunch"
"Brussel Sprouts - Brussels Sprouts, Cooked, 1 cup (100g)",56,5,1,4,0,23,3,3,2017-02-08,"Lunch"
"Oil - Olive, 1 tablespoon",119,0,14,0,0,0,0,0,2017-02-08,"Lunch"
"A Grilled - Chicken Breast, 120 g",203,0,14,55,62,530,0,0,2017-02-08,"Lunch"
"Osem - Israel (Pearl) Couscous, 1/3 cp",180,39,1,6,0,0,0,2,2017-02-08,"Lunch"
"W. Brandenburg - Rinder-Hack, 140 g",308,0,22,27,0,0,0,0,2017-02-08,"Dinner"
"Della - White Basmati Rice - Cooked, 1 cup",205,45,0,4,0,0,0,0,2017-02-08,"Dinner"
"Brocoli - Steamed Brocoli, 1 Cup",70,10,1,4,0,49,3,4,2017-02-08,"Dinner"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-02-09,"Breakfast"
"hofgut storzeln - soja drink vanille, 100 g",59,6,2,4,0,0,6,1,2017-02-09,"Breakfast"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-02-09,"Breakfast"
"Planet Organic - Grain free  paleonola, 50 g",271,20,19,7,0,0,0,0,2017-02-09,"Breakfast"
"Schar - Meisterbackers Vital, 64 gram",170,24,6,3,0,0,0,0,2017-02-09,"Breakfast"
"Cooked - Sweet Potato, 150 g",135,31,0,3,0,54,10,5,2017-02-09,"Lunch"
"Brussel Sprouts - Brussels Sprouts, Cooked, 1 cup (100g)",56,5,1,4,0,23,3,3,2017-02-09,"Lunch"
"Oil - Olive, 1 tablespoon",119,0,14,0,0,0,0,0,2017-02-09,"Lunch"
"A Grilled - Chicken Breast, 120 g",203,0,14,55,62,530,0,0,2017-02-09,"Lunch"
"Osem - Israel (Pearl) Couscous, 1/3 cp",180,39,1,6,0,0,0,2,2017-02-09,"Lunch"
"W. Brandenburg - Rinder-Hack, 140 g",308,0,22,27,0,0,0,0,2017-02-09,"Dinner"
"Della - White Basmati Rice - Cooked, 1 cup",205,45,0,4,0,0,0,0,2017-02-09,"Dinner"
"Naturata - Dark Chocolate Panama 80% Cocoa - cokolada, 40 g",229,10,20,3,0,0,0,0,2017-02-09,"Snacks"
"Generation Ucan - Tropical Orange Superstarch (Tub), 1 scoop (25g)",80,20,0,0,0,130,0,0,2017-02-09,"Training"
"Generation Ucan - Chocolate (Tub), 1 SCOOP (30g)",110,18,1,7,0,128,1,1,2017-02-09,"Training"
"Vega Sport - Performance Protein Chocolate, 1 pack (1.3 oz)",134,6,1,25,0,220,3,2,2017-02-09,"Training"
"Trek - Cocoa Chaos, 55 g",186,27,4,10,0,120,23,4,2017-02-09,"Training"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-02-10,"Breakfast"
"Organo - Latte, 8 fluid ounce",90,17,2,1,0,25,13,0,2017-02-10,"Breakfast"
"Allrecipes.Com - Coconut Curry Fish, 1 serving",353,32,18,19,0,0,0,0,2017-02-10,"Lunch"
"Selfmade - Auster gratiniert, 1 Port",410,3,34,10,0,0,0,0,2017-02-10,"Dinner"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-02-11,"Breakfast"
"hofgut storzeln - soja drink vanille, 100 g",59,6,2,4,0,0,6,1,2017-02-11,"Breakfast"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-02-11,"Breakfast"
"Planet Organic - Grain free  paleonola, 60 g",326,24,22,8,0,0,0,0,2017-02-11,"Breakfast"
"Kalbsbackchen (Veal Cheeks) - Gastro, 250 g",308,0,18,33,145,555,0,0,2017-02-11,"Dinner"
"Goodies - Bircher musli, 265 grams",294,50,6,7,0,0,0,0,2017-02-11,"Snacks"
"Generation Ucan - Tropical Orange Superstarch (Tub), 1 scoop (25g)",80,20,0,0,0,130,0,0,2017-02-11,"Training"
"FitRabbit - NO-Booster (richtig), 85 ml",95,20,0,3,0,0,20,0,2017-02-11,"Training"
"Fulfil Peanut & Carmel - Vitamin & Protein Bar, 55 g",205,10,9,20,0,0,2,9,2017-02-11,"Training"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-02-12,"Breakfast"
"Planet Organic - Grain free  paleonola, 60 g",326,24,22,8,0,0,0,0,2017-02-12,"Breakfast"
"hofgut storzeln - soja drink vanille, 100 g",59,6,2,4,0,0,6,1,2017-02-12,"Breakfast"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-02-12,"Breakfast"
"Longkou - Glasnudeln, 100 gr",349,85,0,0,0,0,0,0,2017-02-12,"Lunch"
"Hofer - Rinder Steak-Streifen, 50 Gramm",69,0,3,11,0,0,0,0,2017-02-12,"Lunch"
"Choy N U - Bock Choy Dark Green leaves, 2 Cup",14,2,0,0,0,0,0,0,2017-02-12,"Dinner"
"Raw - Zuchini, 300 g",51,9,1,4,0,24,8,3,2017-02-12,"Dinner"
"Home Boiled Chicken Leg - With Skin, 120 g",387,0,17,24,140,300,0,0,2017-02-12,"Dinner"
"Schar - Meisterbackers Vital, 64 gram",170,24,6,3,0,0,0,0,2017-02-12,"Dinner"
"W. Brandenburg - Rinder-Hack, 140 g",308,0,22,27,0,0,0,0,2017-02-12,"Snacks"
"Sunwarrior - Classic Protein - Vanilla, 21 g",80,4,0,15,0,55,1,2,2017-02-12,"Training"
"Fulfil Peanut & Carmel - Vitamin & Protein Bar, 55 g",205,10,9,20,0,0,2,9,2017-02-12,"Training"
"Soya Milk - Soya Milk, 250 ml",82,1,5,9,0,0,0,0,2017-02-12,"Training"
"Banana - Frozen, 4.2 oz",110,30,0,1,0,0,19,3,2017-02-12,"Training"
"Generation Ucan - Tropical Orange Superstarch (Tub), 1 scoop (25g)",80,20,0,0,0,130,0,0,2017-02-12,"Training"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-02-13,"Breakfast"
"Timea - Avocado, 0.8 Medium Avocado (150g)",136,12,21,2,0,11,0,10,2017-02-13,"Breakfast"
"Smoked - Salmon, 95 g",162,1,10,22,0,456,0,0,2017-02-13,"Breakfast"
"Cooked - Sweet Potato, 140 g",126,29,0,3,0,50,9,5,2017-02-13,"Breakfast"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-02-13,"Breakfast"
"Choy N U - Bock Choy Dark Green leaves, 2 Cup",14,2,0,0,0,0,0,0,2017-02-13,"Lunch"
"Raw - Zuchini, 300 g",51,9,1,4,0,24,8,3,2017-02-13,"Lunch"
"Safeway bacon - Bacon, 0.3 slice",24,0,2,1,3,78,0,0,2017-02-13,"Lunch"
"Cooked - Sweet Potato, 25 g",23,5,0,1,0,9,2,1,2017-02-13,"Lunch"
"Chicken - Leg, meat only, cooked, roasted, 120 g",229,0,10,32,113,109,0,0,2017-02-13,"Lunch"
"Brussel Sprouts - Roasted, 2 cup",70,16,0,6,0,40,4,6,2017-02-13,"Dinner"
"Generique - Magret De Canard a La Poele, 145 g",297,0,16,39,174,123,1,0,2017-02-13,"Dinner"
"Brocoli - Steamed Fresh, 148 g",50,10,1,4,0,49,3,4,2017-02-13,"Dinner"
"Naturata - Dark Chocolate Panama 80% Cocoa - cokolada, 40 g",229,10,20,3,0,0,0,0,2017-02-13,"Snacks"
"Sos Beaut - Soupe De Brocoli, 2 cup",96,18,0,7,0,0,0,0,2017-02-13,"Snacks"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-02-14,"Breakfast"
"hofgut storzeln - soja drink vanille, 100 g",59,6,2,4,0,0,6,1,2017-02-14,"Breakfast"
"Planet Organic - Grain free  paleonola, 60 g",326,24,22,8,0,0,0,0,2017-02-14,"Breakfast"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-02-14,"Breakfast"
"Chicken - Leg, meat only, cooked, roasted, 120 g",229,0,10,32,113,109,0,0,2017-02-14,"Lunch"
"Brocoli - Steamed Brocoli, 1 Cup",70,10,1,4,0,49,3,4,2017-02-14,"Lunch"
"Rapunzel - Reismischung mit Wildreis, 80 g",283,59,2,7,0,0,1,2,2017-02-14,"Lunch"
"Rice &Rice - spaghetti di riso, 100 gr",351,78,1,7,0,0,0,0,2017-02-14,"Dinner"
"Generic - Homemade Bolognese Sauce, 1 cup",240,5,0,30,0,292,4,0,2017-02-14,"Dinner"
"Naturata - Dark Chocolate Panama 80% Cocoa - cokolada, 40 g",229,10,20,3,0,0,0,0,2017-02-14,"Snacks"
"Generation Ucan - Tropical Orange Superstarch (Tub), 1 scoop (25g)",80,20,0,0,0,130,0,0,2017-02-14,"Training"
"Trek - Cocoa Chaos, 55 g",186,27,4,10,0,120,23,4,2017-02-14,"Training"
"Vega - Recovery Accelerator - Tropical (Usa), 27 grams",90,20,0,4,0,150,14,0,2017-02-14,"Training"
"Primal State - Primal Collagen (100% Reines Kollagen Protein Aus Weidehaltung), 15 g",53,0,0,13,0,0,1,0,2017-02-14,"Training"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-02-15,"Breakfast"
"Koko - Dairy Free Coconut drink (choc + CORRECTED calcium), 250 ml",133,23,5,1,0,0,19,1,2017-02-15,"Breakfast"
"Primal State - Primal Collagen (100% Reines Kollagen Protein Aus Weidehaltung), 15 g",53,0,0,13,0,0,1,0,2017-02-15,"Breakfast"
"Planet Organic - Grain free  paleonola, 60 g",326,24,22,8,0,0,0,0,2017-02-15,"Breakfast"
"hofgut storzeln - soja drink vanille, 100 g",59,6,2,4,0,0,6,1,2017-02-15,"Breakfast"
"Egg - Egg, 2.5 large egg (50g)",175,0,13,15,463,175,0,0,2017-02-15,"Breakfast"
"Rapunzel - Reismischung mit Wildreis, 80 g",283,59,2,7,0,0,1,2,2017-02-15,"Lunch"
"Home - Duck Breast - Culvers, 3 (oz) Roasted",150,3,6,20,110,110,2,0,2017-02-15,"Lunch"
"Salad dressing - Italian dressing, 1 tbsp",43,2,4,0,0,243,1,0,2017-02-15,"Lunch"
"Kalbsbackchen (Veal Cheeks) - Gastro, 250 g",308,0,18,33,145,555,0,0,2017-02-15,"Dinner"
"Naturata - Dark Chocolate Panama 80% Cocoa - cokolada, 40 g",229,10,20,3,0,0,0,0,2017-02-15,"Snacks"
"Le Pain des fleurs - tartine, 4 tartine",56,8,0,0,0,0,0,0,2017-02-15,"Snacks"
"Maranatha - Almond Butter Smooth, 2 tbsp",190,7,16,7,0,0,1,4,2017-02-15,"Snacks"
"FitRabbit - NO-Booster (richtig), 85 ml",95,20,0,3,0,0,20,0,2017-02-15,"Training"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-02-16,"Breakfast"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-02-16,"Breakfast"
"Tim Bacon - Bacon, 2 slices (54g)",230,0,7,5,20,300,0,0,2017-02-16,"Breakfast"
"hofgut storzeln - soja drink vanille, 200 g",118,12,4,7,0,0,12,1,2017-02-16,"Breakfast"
"Cooked - Sweet Potato, 90 g",81,19,0,2,0,32,6,3,2017-02-16,"Breakfast"
"Timea - Avocado, 0.5 Medium Avocado (150g)",85,8,13,2,0,7,0,6,2017-02-16,"Breakfast"
"Eurest - Hummus, 2 tbsp",108,13,5,4,0,60,2,4,2017-02-16,"Breakfast"
"Home Made - Potato Salad, 0.5 cup",150,22,2,5,30,180,3,3,2017-02-16,"Lunch"
"Rosemont - Haricots Verts, 1 cup",44,9,0,3,0,0,0,5,2017-02-16,"Lunch"
"Cod - Cod, 100 g",70,0,1,16,0,0,0,0,2017-02-16,"Lunch"
"A Grilled - Chicken Breast, 60 g",101,0,7,27,31,265,0,0,2017-02-16,"Lunch"
"Chiqui - Banana, 126 g",110,30,0,1,0,0,19,3,2017-02-16,"Snacks"
"Generic - Keto - Breakfast Granola, 1/2 c",210,30,8,6,0,0,0,0,2017-02-16,"Snacks"
"Max Sport - Raw paleo protein bar peanut volcano, 50 g",177,17,6,10,0,0,17,0,2017-02-16,"Training"
"Primal Energy - Mct Oil, 15 ml",135,0,15,0,0,0,0,0,2017-02-17,"Breakfast"
"Greens Plus - Organic Superfood, 1 scoop (8 gm)",30,4,0,2,0,24,1,2,2017-02-17,"Breakfast"
"Organic Workout - Paleobrot, 95 g",208,7,10,14,0,570,1,0,2017-02-17,"Breakfast"
"hofgut storzeln - soja drink vanille, 300 g",177,18,6,11,0,0,18,2,2017-02-17,"Breakfast"
"Raw - Zuchini, 300 g",51,9,1,4,0,24,8,3,2017-02-17,"Lunch"
"Generic - French Emental Cheese, 20 g",73,1,5,5,17,37,0,0,2017-02-17,"Lunch"
"W. Brandenburg - Rinder-Hack, 60 g",132,0,10,11,0,0,0,0,2017-02-17,"Lunch"
"Bulgur - Cooked, 0.7 cup",106,24,0,4,0,6,0,6,2017-02-17,"Lunch"
"tunfisch - tunfisch, 200 g",338,0,15,51,0,0,0,0,2017-02-17,"Dinner"
"Choy N U - Bock Choy Dark Green leaves, 2 Cup",14,2,0,0,0,0,0,0,2017-02-17,"Dinner"
"Della - White Basmati Rice - Cooked, 1 cup",205,45,0,4,0,0,0,0,2017-02-17,"Dinner"
"Peppers, sweet, red, raw, 1 cup, chopped",46,9,0,1,0,6,6,3,2017-02-17,"Dinner"
"Generic - Ciabatta, 75 g",203,38,3,7,0,0,0,2,2017-02-17,"Dinner"
"Usda - Egg, 2 egg (50g)",142,1,10,12,422,140,1,0,2017-02-17,"Snacks"
"Rapunzel - Reismischung mit Wildreis, 80 g",283,59,2,7,0,0,1,2,2017-02-17,"Snacks"
"hofgut storzeln - soja drink vanille, 300 g",177,18,6,11,0,0,18,2,2017-02-18,"Breakfast"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-02-18,"Breakfast"
"Keto - Chocolate Granola, 60 g",319,8,29,12,0,84,2,5,2017-02-18,"Breakfast"
"U - Pommes Frites Allumettes, 75 g",109,16,3,2,0,118,0,3,2017-02-18,"Lunch"
"Generic - Egg Benedict (2 Medium Eggs), 0.5 egg benedict",212,4,16,14,217,878,0,1,2017-02-18,"Lunch"
"Generic - Bavette De Boeuf, 100 g",103,0,3,18,0,0,0,0,2017-02-18,"Lunch"
"Getranke - Wein, Rot, 200 ml",170,5,0,0,0,10,4,0,2017-02-18,"Lunch"
"Lachs - Lachs, 250 g",573,0,40,50,0,0,0,0,2017-02-18,"Dinner"
"Waitrose - Ratte Potatoes, 250 g",198,43,1,5,0,25,2,6,2017-02-18,"Dinner"
"Getranke - Wein, Rot, 350 ml",298,9,0,0,0,18,7,0,2017-02-18,"Dinner"
"Juice Generation - Very Veggie Fresh Juice, 18 oz",195,45,0,4,0,69,33,4,2017-02-18,"Snacks"
"F-f - Brocoli, 3 Florets 100g",28,5,0,3,0,0,0,3,2017-02-18,"Snacks"
"Chiqui - Banana, 126 g",110,30,0,1,0,0,19,3,2017-02-18,"Snacks"
"Generation Ucan - Tropical Orange Superstarch (Tub), 1 scoop (25g)",80,20,0,0,0,130,0,0,2017-02-18,"Training"
"Primal State - Primal Collagen (100% Reines Kollagen Protein Aus Weidehaltung), 15 g",53,0,0,13,0,0,1,0,2017-02-18,"Training"
"Generation Ucan - Chocolate (Tub), 1 SCOOP (30g)",110,18,1,7,0,128,1,1,2017-02-18,"Training"
"Milchreis Homemade, 0.5 serving(s)",129,11,8,3,0,1,1,0,2017-02-19,"Breakfast"
"Rice Generic Basmati - Basmati White, 1 cup (158 gr)",191,40,1,6,0,199,0,1,2017-02-19,"Breakfast"
"Primal Energy - Mct Oil, 15 ml",135,0,15,0,0,0,0,0,2017-02-19,"Breakfast"
"Nueske's - Smoked Duck Breast, 127.5 gram",405,1,33,27,120,870,1,0,2017-02-19,"Lunch"
"Brot - Roggenbrot, 3 Scheibe (50 g)",327,72,5,12,0,909,6,9,2017-02-19,"Lunch"
"Mezzetta - Garlic Stuffed Green Olives, 5 Olive (9.5g)",50,3,5,0,0,700,0,0,2017-02-19,"Lunch"
"migros - kalbs leber tranchen, 200 g",260,9,8,38,0,0,2,0,2017-02-19,"Dinner"
"Rosemont - Haricots Verts, 1 cup",44,9,0,3,0,0,0,5,2017-02-19,"Dinner"
"Legumes Frais - Champignons Blanc (Cuits/sautes), 100 g",26,4,0,4,0,12,0,2,2017-02-19,"Dinner"
"Waitrose - Ratte Potatoes, 250 g",198,43,1,5,0,25,2,6,2017-02-19,"Dinner"
"Milchreis Homemade, 0.75 serving(s)",193,17,12,4,0,1,1,0,2017-02-19,"Snacks"
"Primal Energy - Mct Oil, 15 ml",135,0,15,0,0,0,0,0,2017-02-19,"Snacks"
"FitRabbit - NO-Booster (richtig), 85 ml",95,20,0,3,0,0,20,0,2017-02-19,"Training"
"Generation Ucan - Tropical Orange Superstarch (Tub), 1 scoop (25g)",80,20,0,0,0,130,0,0,2017-02-19,"Training"
"Sunwarrior - Classic Protein - Vanilla, 21 g",80,4,0,15,0,55,1,2,2017-02-19,"Training"
"Soya Milk - Soya Milk, 250 ml",82,1,5,9,0,0,0,0,2017-02-19,"Training"
"Banana - Frozen, 2.1 oz",55,15,0,1,0,0,10,2,2017-02-19,"Training"
"Strawberries, raw, 1 cup, halves",49,12,0,1,0,2,7,3,2017-02-19,"Training"
"hofgut storzeln - soja drink vanille, 300 g",177,18,6,11,0,0,18,2,2017-02-20,"Breakfast"
"Greens Plus - Organic Superfood, 1 scoop (8 gm)",30,4,0,2,0,24,1,2,2017-02-20,"Breakfast"
"Chiqui - Banana, 63 g",55,15,0,1,0,0,10,2,2017-02-20,"Breakfast"
"Seeds for Smoothie - Chia, 1 tablespoon",60,0,5,3,0,0,0,6,2017-02-20,"Breakfast"
"Cranberries, raw, 1 cup, chopped",51,13,0,0,0,2,4,5,2017-02-20,"Breakfast"
"Primal Energy - Mct Oil, 15 ml",135,0,15,0,0,0,0,0,2017-02-20,"Breakfast"
"Sunwarrior - Classic Protein - Vanilla, 21 g",80,4,0,15,0,55,1,2,2017-02-20,"Breakfast"
"Milchreis Homemade, 0.75 serving(s)",193,17,12,4,0,1,1,0,2017-02-20,"Lunch"
"Lachs - Lachs, 150 g",344,0,24,30,0,0,0,0,2017-02-20,"Lunch"
"Peppers, sweet, red, raw, 1 cup, chopped",46,9,0,1,0,6,6,3,2017-02-20,"Dinner"
"Eurest - Mashed Sweet Potatoes, 0.5 cup",143,27,3,2,0,268,7,3,2017-02-20,"Dinner"
"Chicken Breast - Roasted - Chicken Breast, 125 g",246,0,10,38,105,89,0,0,2017-02-20,"Dinner"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-02-20,"Snacks"
"Naturata - Dark Chocolate Panama 80% Cocoa - cokolada, 40 g",229,10,20,3,0,0,0,0,2017-02-20,"Snacks"
"Le Pain des fleurs - tartine, 6 tartine",84,12,0,0,0,0,0,0,2017-02-20,"Snacks"
"Greens Plus - Organic Superfood, 1 scoop (8 gm)",30,4,0,2,0,24,1,2,2017-02-21,"Breakfast"
"hofgut storzeln - soja drink vanille, 100 g",59,6,2,4,0,0,6,1,2017-02-21,"Breakfast"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-02-21,"Breakfast"
"Primal Energy - Mct Oil, 15 ml",135,0,15,0,0,0,0,0,2017-02-21,"Breakfast"
"Planet Organic - Grain free  paleonola, 70 g",380,28,26,9,0,0,0,0,2017-02-21,"Breakfast"
"Brocoli - Steamed Brocoli, 1 Cup",70,10,1,4,0,49,3,4,2017-02-21,"Lunch"
"Chicken Breast - Roasted - Chicken Breast, 140 g",276,0,11,42,118,99,0,0,2017-02-21,"Lunch"
"Della - White Basmati Rice - Cooked, 1.45 cup",297,65,1,6,0,0,0,0,2017-02-21,"Lunch"
"Primal Energy - Mct Oil, 15 ml",135,0,15,0,0,0,0,0,2017-02-21,"Dinner"
"Generic - Homemade Bolognese Sauce, 1 cup",240,5,0,30,0,292,4,0,2017-02-21,"Dinner"
"Della - White Basmati Rice - Cooked, 1.45 cup",297,65,1,6,0,0,0,0,2017-02-21,"Dinner"
"Maxsport - Raw Paleo Zenberry Protein Bar, 50 g",198,21,4,10,0,295,21,6,2017-02-21,"Snacks"
"Generation Ucan - Tropical Orange Superstarch (Tub), 1 scoop (25g)",80,20,0,0,0,130,0,0,2017-02-21,"Training"
"Greens Plus - Organic Superfood, 1 scoop (8 gm)",30,4,0,2,0,24,1,2,2017-02-22,"Breakfast"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-02-22,"Breakfast"
"Primal Energy - Mct Oil, 15 ml",135,0,15,0,0,0,0,0,2017-02-22,"Breakfast"
"Planet Organic - Grain free  paleonola, 70 g",380,28,26,9,0,0,0,0,2017-02-22,"Breakfast"
"hofgut storzeln - soja drink vanille, 300 g",177,18,6,11,0,0,18,2,2017-02-22,"Breakfast"
"Lachs - Lachs, 175 g",401,0,28,35,0,0,0,0,2017-02-22,"Lunch"
"Rapunzel - Reismischung mit Wildreis, 80 g",283,59,2,7,0,0,1,2,2017-02-22,"Lunch"
"Chicken Breast - Roasted - Chicken Breast, 140 g",276,0,11,42,118,99,0,0,2017-02-22,"Dinner"
"Brocoli - Steamed Brocoli, 1 Cup",70,10,1,4,0,49,3,4,2017-02-22,"Dinner"
"Della - White Basmati Rice - Cooked, 1 cup",205,45,0,4,0,0,0,0,2017-02-22,"Dinner"
"Getranke - Wein, Rot, 350 ml",298,9,0,0,0,18,7,0,2017-02-22,"Dinner"
"Naturata - Dark Chocolate Panama 80% Cocoa - cokolada, 20 g",115,5,10,2,0,0,0,0,2017-02-22,"Snacks"
"Blumenbrot - Zwiebelschnitten, 50 g",185,39,1,5,0,0,0,0,2017-02-22,"Snacks"
"hofgut storzeln - soja drink vanille, 200 g",118,12,4,7,0,0,12,1,2017-02-23,"Breakfast"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-02-23,"Breakfast"
"Primal Energy - Mct Oil, 15 ml",135,0,15,0,0,0,0,0,2017-02-23,"Breakfast"
"Greens Plus - Organic Superfood, 1 scoop (8 gm)",30,4,0,2,0,24,1,2,2017-02-23,"Breakfast"
"Cooked - Sweet Potato, 90 g",81,19,0,2,0,32,6,3,2017-02-23,"Breakfast"
"Brussel Sprouts - Brussels Sprouts, Cooked, 1 cup (100g)",56,5,1,4,0,23,3,3,2017-02-23,"Breakfast"
"Chicken Breast - Roasted - Chicken Breast, 144 g",284,0,12,43,121,102,0,0,2017-02-23,"Lunch"
"Della - White Basmati Rice - Cooked, 1 cup",205,45,0,4,0,0,0,0,2017-02-23,"Lunch"
"Rosemont - Haricots Verts, 1.5 cup",66,14,0,5,0,0,0,7,2017-02-23,"Lunch"
"Uk Fish and Chip Shop - Chips, 1 regular portion",839,45,19,12,0,0,14,5,2017-02-23,"Dinner"
"Rainier - Beer, 24 oz",268,22,0,2,0,0,0,0,2017-02-23,"Dinner"
"Almonds - Dark Chocolate Covered Almonds, 9 pieces",191,17,12,3,0,152,14,2,2017-02-23,"Snacks"
"Generation Ucan - Tropical Orange Superstarch (Tub), 1 scoop (25g)",80,20,0,0,0,130,0,0,2017-02-23,"Training"
"Maxsport Raw Paleo - Protein - Jungle Banana, 50 g",164,17,4,11,0,0,17,7,2017-02-23,"Training"
"Primal State - Primal Collagen (100% Reines Kollagen Protein Aus Weidehaltung), 15 g",53,0,0,13,0,0,1,0,2017-02-23,"Training"
"Vega - Recovery Accelerator - Tropical (Usa), 27 grams",90,20,0,4,0,150,14,0,2017-02-23,"Training"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-02-24,"Breakfast"
"Greens Plus - Organic Superfood, 1 scoop (8 gm)",30,4,0,2,0,24,1,2,2017-02-24,"Breakfast"
"hofgut storzeln - soja drink vanille, 300 g",177,18,6,11,0,0,18,2,2017-02-24,"Breakfast"
"Schar - Meisterbackers Vital, 64 gram",170,24,6,3,0,0,0,0,2017-02-24,"Breakfast"
"Chicken Breast - Roasted - Chicken Breast, 60 g",118,0,5,18,50,43,0,0,2017-02-24,"Lunch"
"Della - White Basmati Rice - Cooked, 1 cup",205,45,0,4,0,0,0,0,2017-02-24,"Lunch"
"Generic - Homemade Bolognese Sauce, 0.5 cup",120,3,0,15,0,146,2,0,2017-02-24,"Lunch"
